#1	
double load(8760,3) # P(kW) & Q (kvar)	
1281600, 1.900910187, 0.7603640748
1285200, 1.690097211, 0.6760388844
1288800, 1.306800891, 0.5227203564
1292400, 1.008548442, 0.4034193768
1296000, 0.835852875, 0.33434115
1299600, 0.732978675, 0.29319147
1303200, 0.6873867, 0.27495468
1306800, 0.667513275, 0.26700531
1310400, 0.693231825, 0.27729273
1314000, 0.730640625, 0.29225625
1317600, 0.91417755, 0.36567102
1321200, 1.24618065, 0.49847226
1324800, 1.371266325, 0.54850653
1328400, 1.284758475, 0.51390339
1332000, 1.21812405, 0.48724962
1335600, 1.270730175, 0.50829207
1339200, 1.37711145, 0.55084458
1342800, 1.19006745, 0.47602698
1346400, 1.09654545, 0.43861818
1350000, 0.992502225, 0.39700089
1353600, 1.04510835, 0.41804334
1357200, 1.26956115, 0.50782446
1360800, 1.633127925, 0.65325117
1364400, 1.94291955, 0.77716782
1368000, 1.8797922, 0.75191688
1371600, 1.67638185, 0.67055274
1375200, 1.3373646, 0.53494584
1378800, 1.01705175, 0.4068207
1382400, 0.8401393, 0.33605572
1386000, 0.73203746, 0.292814984
1389600, 0.6873867, 0.27495468
1393200, 0.66271128, 0.265084512
1396800, 0.68268662, 0.273074648
1400400, 0.72146228, 0.288584912
1404000, 0.89184018, 0.356736072
1407600, 1.2102706, 0.48410824
1411200, 1.31367236, 0.525468944
1414800, 1.29604706, 0.518418824
1418400, 1.20909558, 0.483638232
1422000, 1.2748967, 0.50995868
1425600, 1.39122368, 0.556489472
1429200, 1.25022128, 0.500088512
1432800, 1.14329446, 0.457317784
1436400, 1.0457678, 0.41830712
1440000, 1.05046788, 0.420187152
1443600, 1.24787124, 0.499148496
1447200, 1.60860238, 0.643440952
1450800, 1.94700814, 0.778803256
1454400, 1.8859071, 0.75436284
1458000, 1.70260398, 0.681041592
1461600, 1.34892296, 0.539569184
1465200, 1.057518, 0.4230072
1468800, 0.85835211, 0.343340844
1472400, 0.748576466, 0.2994305864
1476000, 0.68901734, 0.275606936
1479600, 0.675003428, 0.2700013712
1483200, 0.703031252, 0.2812125008
1486800, 0.734562554, 0.2938250216
1490400, 0.9342608, 0.37370432
1494000, 1.2846086, 0.51384344
1497600, 1.37219555, 0.54887822
1501200, 1.247238168, 0.4988952672
1504800, 1.176000782, 0.4704003128
1508400, 1.248405994, 0.4993623976
1512000, 1.30212599, 0.520850396
1515600, 1.211035562, 0.4844142248
1519200, 1.098924266, 0.4395697064
1522800, 0.973966884, 0.3895867536
1526400, 1.007833838, 0.4031335352
1530000, 1.225049474, 0.4900197896
1533600, 1.645466834, 0.6581867336
1537200, 1.939758986, 0.7759035944
1540800, 1.896549424, 0.7586197696
1544400, 1.665319876, 0.6661279504
1548000, 1.33716077, 0.534864308
1551600, 1.032358184, 0.4129432736
1555200, 0.834643084, 0.3338572336
1558800, 0.72706161, 0.290824644
1562400, 0.69159519, 0.276638076
1566000, 0.675044194, 0.2700176776
1569600, 0.706963972, 0.2827855888
1573200, 0.745977034, 0.2983908136
1576800, 0.918580278, 0.3674321112
1580400, 1.260240124, 0.5040960496
1584000, 1.386737022, 0.5546948088
1587600, 1.29452433, 0.517809732
1591200, 1.237778058, 0.4951112232
1594800, 1.267333408, 0.5069333632
1598400, 1.325261894, 0.5301047576
1602000, 1.236595844, 0.4946383376
1605600, 1.175120716, 0.4700482864
1609200, 1.071085884, 0.4284343536
1612800, 1.103005662, 0.4412022648
1616400, 1.251964626, 0.5007858504
1620000, 1.603082184, 0.6412328736
1623600, 1.906911182, 0.7627644728
1627200, 1.846618268, 0.7386473072
1630800, 1.652735172, 0.6610940688
1634400, 1.334719606, 0.5338878424
1638000, 1.098276806, 0.4393107224
1641600, 0.894483975, 0.35779359
1645200, 0.78961344, 0.315845376
1648800, 0.714353409, 0.2857413636
1652400, 0.693379302, 0.2773517208
1656000, 0.706950783, 0.2827803132
1659600, 0.734093745, 0.293637498
1663200, 0.80195115, 0.32078046
1666800, 0.991951884, 0.3967807536
1670400, 1.330005138, 0.5320020552
1674000, 1.436109444, 0.5744437776
1677600, 1.396628772, 0.5586515088
1681200, 1.46818749, 0.587274996
1684800, 1.574291796, 0.6297167184
1688400, 1.473122574, 0.5892490296
1692000, 1.376888436, 0.5507553744
1695600, 1.228835916, 0.4915343664
1699200, 1.206628038, 0.4826512152
1702800, 1.343576619, 0.5374306476
1706400, 1.650785598, 0.6603142392
1710000, 1.874098149, 0.7496392596
1713600, 1.821045996, 0.7284183984
1717200, 1.598967216, 0.6395868864
1720800, 1.350979245, 0.540391698
1724400, 1.133835549, 0.4535342196
1728000, 0.95050725, 0.3802029
1731600, 0.845317781, 0.3381271124
1735200, 0.759138457, 0.3036553828
1738800, 0.718583481, 0.2874333924
1742400, 0.718583481, 0.2874333924
1746000, 0.729989568, 0.2919958272
1749600, 0.765475172, 0.3061900688
1753200, 0.878268699, 0.3513074796
1756800, 1.143143386, 0.4572573544
1760400, 1.399146672, 0.5596586688
1764000, 1.606990924, 0.6427963696
1767600, 1.731190538, 0.6924762152
1771200, 1.784418944, 0.7137675776
1774800, 1.530950344, 0.6123801376
1778400, 1.405483387, 0.5621933548
1782000, 1.276214401, 0.5104857604
1785600, 1.225520681, 0.4902082724
1789200, 1.3940773, 0.55763092
1792800, 1.690635562, 0.6762542248
1796400, 1.906083872, 0.7624335488
1800000, 1.882004355, 0.752801742
1803600, 1.67289276, 0.669157104
1807200, 1.328175464, 0.5312701856
1810800, 1.083578265, 0.433431306
1814400, 0.846991728, 0.3387966912
